Name,Gram amount,Link
Pegboard mount,154,https://makerworld.com/en/models/1094844-desk-mount-for-skadis-pegboard?from=search#profileId-1089034
Bag hook,20,https://makerworld.com/en/models/1355706-desk-table-hook-for-rucksack-bag-or-purse?from=search#profileId-1399294
Cable chain,430,https://makerworld.com/en/models/1339769-magnetic-standing-desk-cable-chain?from=search#profileId-1380032
Cable chain mount,35,https://makerworld.com/en/models/1651759-underware-connector-for-desktop-cable-chain#profileId-1746346
Opengrid base,310,https://makerworld.com/en/models/1304337-opengrid-tile-generator?from=search#profileId-1933414
Underware cable tracks,550,https://makerworld.com/en/models/1175037-underware-for-opengrid#profileId-1195039
Velcro attachment,,https://makerworld.com/en/models/1698557-opengrid-velcro-cable-tie-snap-13mm?from=search#profileId-1801069
